Thread ID;NumRuns;Min (s);Avg (s);Max (s)
0;9;0.0262;7.0547;30.6208
1;14;0.0331;3.4802;30.8834
2;3;4.2649;24.2656;36.1536
3;3;17.1067;26.9446;37.3295
4;9;0.1309;7.2552;31.6699
5;1;62.1371;62.1371;62.1371
6;1;73.1998;73.1998;73.1998
7;1;38.3022;38.3022;38.3022
8;3;4.2790;19.6994;27.6796
9;5;8.0328;14.6398;28.3496
10;3;3.1885;26.2110;39.3371
11;13;0.0321;5.0516;31.2297
12;2;20.0975;39.6419;59.1863
13;1;31.9408;31.9408;31.9408
14;28;0.0317;1.0303;22.8735
15;10;0.0407;7.2781;31.1933
16;22;0.0178;1.5133;31.2054
17;3;3.3760;23.2049;35.2683
18;24;0.0061;1.1869;27.8809
19;1;46.5342;46.5342;46.5342
20;29;0.0122;0.0250;0.1307
21;7;0.4257;9.2425;28.6091
22;4;1.0125;17.1694;31.2124
23;4;0.5452;19.1949;39.3792
24;1;58.7504;58.7504;58.7504
25;4;3.8010;16.9191;31.6084
26;3;11.2801;27.0335;38.4141
27;3;10.9699;27.0679;41.1383
28;3;11.2140;28.1413;40.2382
29;8;0.0233;7.7741;31.0097
30;2;0.2995;98.7150;197.1304
31;7;9.5148;30.8129;40.6664
32;4;31.5769;81.1722;217.9963
33;4;0.0286;52.0959;197.4530
34;4;0.0035;52.9496;196.8454
35;6;17.1981;27.5047;38.9369
36;7;3.6326;34.3626;47.1360
37;15;0.0064;10.3287;36.3648
38;28;0.0016;4.0598;12.9357
39;62;0.0058;0.0107;0.0700
40;4;4.7949;19.9469;31.4732
41;8;0.0372;45.8015;83.7976
42;30;0.0056;3.7033;10.7386
43;3;9.2763;27.9982;39.2857
44;8;0.2697;25.4077;35.6772
45;4;1.0817;51.7085;194.0363
Total;418;0.0016;11.2503;217.9963
